"Farm product prices, crops and livestock 1"
"Frequency: Monthly"
"Table: 32-10-0077-01 (formerly CANSIM 002-0043)"
"Release date: 2026-03-10"
"Geography: Province or territory"
""
""

"Geography","Farm products 2","January 2000","February 2000","March 2000","April 2000","May 2000","June 2000","July 2000","August 2000","September 2000","October 2000","November 2000","December 2000","January 2001","February 2001","March 2001","April 2001","May 2001","June 2001","July 2001","August 2001","September 2001","October 2001","November 2001","December 2001","January 2002","February 2002","March 2002","April 2002","May 2002","June 2002","July 2002","August 2002","September 2002","October 2002","November 2002","December 2002","January 2003","February 2003","March 2003","April 2003","May 2003","June 2003","July 2003","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
,"Oats","94.60","97.56","98.41","98.66","100.89","99.01","104.38","93.70","86.92","84.39","86.90","86.69","99.19","106.51","105.33","103.31","102.84","105.42","107.37","109.58","107.22","117.44","118.85","122.96","151.61","159.73","162.44","164.38","161.95","166.41","173.80","143.11","150.02","155.42","169.19","172.68","177.60","179.74","175.72","169.34","163.86","159.19","149.01","134.79","113.40","109.96","113.83","118.56","116.09","118.47","122.20","125.53","129.30","121.85","124.98","111.90","101.72","109.43","111.43","111.60","116.40","114.43","115.49","117.00","114.85","116.66","109.71","109.29","105.45","106.72","107.09","110.98","113.49","121.70","119.11","120.84","121.49","117.61","123.69","116.12","113.74","116.15","124.38","135.98","147.84","162.28","163.18","164.96","164.29","165.98","159.37","143.51","147.97","154.43","156.79","162.76","168.38","189.97","197.74","204.42","206.02","209.05","209.38","193.21","191.64","198.08","195.26","194.68","189.87","180.99","177.28","174.18","169.26","161.95","161.15","155.03","139.69","124.58","146.69","137.41","146.92","139.88","136.56","136.63","132.39","136.10","137.81","140.33","143.22","148.46","156.91","164.14","174.74","188.01","191.52","198.50","197.10","197.90","196.80","201.22","200.13","196.02","202.99","202.97","208.95","214.10","216.81","206.04","210.15","201.06","215.97","225.47","211.03","212.34","213.91","213.75","217.41","225.67","231.37","223.76","219.00","223.24","225.22","211.02","207.03","200.97","204.09","206.20","201.60","206.66","209.39","213.92","211.64","226.53","223.98","201.83","201.72","198.00","201.06","205.50","203.10","212.21","220.37","211.68","218.99","209.76","197.79","191.06","182.47","165.85","184.70","158.49","166.37","171.81","166.12","150.14","149.05","142.21","142.77","135.17","132.60","137.89","136.61","139.70","151.69","150.54","153.66","158.77","161.38","163.16","169.18","174.50","172.03","173.00","170.35","189.19","198.39","205.85","220.72","221.96","213.49","218.26","214.26","203.32","202.02","202.25","203.37","209.95","229.51","238.91","241.06","237.35","251.00","247.71","253.62","232.50","225.20","224.06","225.89","228.35","229.64","238.31","241.58","237.80","241.00","236.53","233.44","222.00","220.00","223.00","229.00","241.00","247.00","259.00","255.00","269.00","267.00","294.00","284.00","305.00","305.00","348.00","393.00","395.00","515.00","524.00","549.00","573.00","544.00","600.00","487.00","365.00","365.00","368.00","327.00","315.00","342.00","322.00","313.00","293.00","283.00","265.00","249.00","282.00","282.00","274.00","291.00","320.00","313.00","295.00","282.00","303.00","262.00","276.00","259.00","264.00","264.00","278.00","260.00","250.00","243.00","269.00","248.00","249.00","283.00","271.00","267.00","251.00","251.00","273.00","277.00","290.00","279.00"
,"Barley 3 4","112.37","112.32","111.55","113.11","113.15","112.82","117.40","106.35","104.69","105.20","112.50","125.38","131.58","135.03","130.87","136.73","134.85","133.18","136.31","126.32","127.45","130.04","133.16","144.53","149.89","143.46","145.92","144.84","138.23","137.16","138.44","133.02","140.08","130.81","134.93","150.32","148.12","156.15","155.76","151.57","150.48","152.45","134.89","111.79","111.52","103.52","112.88","106.59","125.12","126.35","128.54","136.71","133.33","129.17","130.99","106.05","108.80","111.45","115.41","119.02","109.29","113.52","109.45","115.31","105.46","101.66","106.35","100.54","99.66","100.42","102.24","109.97","125.85","123.30","120.81","123.32","123.48","118.70","120.82","103.03","98.82","109.31","124.05","144.93","150.52","158.60","165.27","168.48","170.78","170.28","170.29","160.41","165.77","178.61","190.94","191.78","194.31","199.61","196.55","207.48","205.46","205.71","218.18","191.66","195.05","192.56","194.79","184.33","183.79","182.23","175.18","177.55","171.51","170.89","163.49","136.64","141.09","121.73","131.16","134.13","133.58","132.53","136.71","136.24","138.54","124.45","129.40","133.14","143.81","155.39","168.80","180.81","180.51","195.40","204.37","212.71","218.09","222.07","230.40","219.27","221.83","219.61","221.11","225.89","228.50","227.53","235.44","226.79","228.91","236.63","239.14","253.46","251.82","254.96","259.34","265.17","262.82","264.68","263.85","259.79","246.11","244.17","241.90","193.65","172.15","176.63","172.44","169.60","167.28","169.69","176.38","178.83","190.74","192.81","190.92","175.10","165.99","165.72","169.91","179.61","187.87","201.78","205.36","209.25","205.40","208.95","202.49","195.67","189.93","190.22","186.69","191.08","189.75","187.44","187.47","185.54","179.97","182.70","177.69","166.43","162.83","159.29","158.81","175.45","174.28","177.88","184.67","185.03","185.33","188.14","190.62","189.87","183.16","174.71","189.15","192.19","196.95","203.75","202.91","208.80","216.31","221.09","218.94","211.21","204.91","212.98","211.40","217.90","230.99","232.82","234.17","237.58","237.12","240.40","243.05","239.70","227.32","226.14","231.12","233.13","240.16","241.85","243.07","235.30","235.63","231.93","231.56","223.78","222.88","217.87","228.41","244.64","246.30","265.41","270.49","277.69","297.22","301.61","292.71","288.00","288.00","277.00","320.00","325.00","324.00","337.00","346.00","358.00","353.00","360.00","329.00","313.00","313.00","327.00","329.00","325.00","358.00","366.00","365.00","363.00","328.00","243.00","250.00","250.00","250.00","266.00","308.00","297.00","303.00","298.00","316.00","313.00","284.00","314.00","275.00","223.00","223.00","221.00","226.00","230.00","219.00","233.00","240.00","219.00","203.00","223.00","235.00","224.00","224.00","222.00","226.00","253.00","223.00"
,"Soybeans","256.99","265.27","271.09","274.70","284.03","280.66","266.73","256.28","265.28","268.16","267.91","274.13","282.30","278.93","272.12","270.11","268.12","265.95","274.41","274.22","273.70","270.40","267.05","270.80","277.94","280.40","280.59","282.29","286.31","286.59","302.10","301.60","321.02","314.01","325.86","329.96","336.04","339.37","337.32","343.65","346.34","338.24","329.67","311.63","320.69","324.03","328.67","344.12","368.17","390.36","401.91","431.70","435.30","402.83","421.20","414.06","346.09","344.04","316.72","294.33","327.14","280.50","291.94","295.76","301.70","309.57","299.83","289.87","304.75","296.99","289.08","287.80","296.89","295.88","267.82","260.32","265.26","250.82","256.31","249.17","237.79","249.67","270.13","274.90","295.80","312.82","322.47","313.33","317.06","325.58","328.07","325.80","341.85","340.02","355.08","385.24","417.03","457.46","458.60","454.73","457.57","488.39","541.31","488.09","432.94","426.25","430.00","427.04","454.68","457.12","449.12","449.31","472.03","491.00","475.76","444.83","450.95","440.57","427.66","440.47","438.38","430.65","426.15","391.42","401.58","382.97","386.29","392.66","405.81","416.68","422.24","435.42","469.57","485.44","493.82","490.44","490.36","492.26","491.91","498.69","470.11","464.69","455.89","455.91","488.82","487.03","498.19","510.37","517.53","522.80","563.14","579.51","522.19","523.22","523.91","540.86","547.09","567.90","568.23","584.54","555.22","569.31","557.27","595.18","528.78","504.39","505.37","530.42","565.01","563.85","603.91","603.73","608.88","604.22","584.55","523.65","506.22","469.92","472.26","481.52","502.19","507.62","500.32","485.66","466.43","467.81","469.62","453.85","462.53","442.10","433.57","447.14","462.88","475.51","466.26","480.75","496.30","495.69","495.10","501.27","485.20","485.20","492.50","510.60","516.30","519.10","507.70","503.80","500.10","499.10","476.20","469.90","483.00","483.00","477.10","486.40","480.60","482.00","499.20","508.00","502.00","512.40","492.40","475.80","481.70","481.70","469.20","471.10","476.00","468.30","468.70","457.10","453.80","451.80","458.90","455.00","461.90","461.90","462.00","461.00","468.70","473.50","479.00","481.50","480.00","469.40","468.00","469.60","492.00","492.00","518.60","538.50","578.70","593.40","624.50","601.30","644.50","654.10","611.90","613.50","563.50","563.50","591.80","611.10","634.40","693.30","739.90","757.00","772.10","781.60","759.00","705.70","661.30","661.30","711.00","751.30","779.40","791.20","786.80","789.50","774.50","752.50","731.10","710.60","682.50","682.50","694.40","694.00","659.00","633.20","625.00","617.90","625.90","624.10","608.30","557.40","563.30","563.30","543.80","553.70","553.40","574.60","563.10","572.40","549.60","554.60","537.50","535.10","537.90","537.90","577.00","566.90","586.80"
,"Canola (including rapeseed)","228.92","223.83","228.28","244.90","238.15","217.39","217.39","215.28","246.58","245.11","236.08","245.86","248.98","240.77","260.72","237.68","259.79","266.89","210.61","319.92","305.00","296.94","318.00","322.50","320.33","320.33","315.00","300.00","286.83","286.83","286.83","342.00","402.40","383.50","398.00","372.50","373.80","363.20","351.92","351.92","351.92","356.00","356.00","322.25","320.09","310.48","316.10","324.07","316.30","327.25","339.82","350.95","380.57","376.73","365.61","359.68","327.22","331.70","325.59","259.63","290.36","267.00","269.22","259.99","265.28","276.85","275.90","255.78","244.42","225.78","210.51","169.85","181.48","171.91","177.59","175.00","152.00","164.30","157.30","269.85","267.42","261.57","260.00","246.55","260.00","318.00","315.00","310.00","328.00","340.00","354.00","381.50","361.99","351.78","364.79","371.27","367.07","335.00","335.00","335.00","335.00","335.00","335.00","536.95","475.32","465.51","453.92","458.53","423.53","450.00","353.00","326.63","326.63","400.00","400.00","393.97","378.71","392.00","412.20","374.12","387.29","367.55","362.46","376.11","382.66","368.45","399.60","427.06","441.48","439.83","450.40","467.42","497.51","530.20","537.27","572.57","550.82","564.52","540.41","572.02","541.45","520.66","525.50","540.60","534.78","542.72","563.09","574.65","582.46","602.92","577.22","582.71","567.69","562.70","574.05","558.69","583.13","576.49","607.09","609.23","624.74","515.00","515.00","530.11","507.96","497.59","482.22","493.63","460.22","430.76","436.33","449.52","455.94","476.27","470.09","454.67","429.77","434.36","440.16","436.42","451.45","462.14","470.23","471.20","485.65","476.09","499.24","471.82","486.07","491.64","491.34","466.55","481.78","460.25","458.24","477.62","495.79","495.06","478.53","484.51","488.41","494.29","500.51","500.51","505.87","512.79","502.79","503.31","512.67","494.98","475.22","493.00","500.85","494.73","492.79","500.70","497.65","500.71","497.06","500.86","507.79","516.13","510.60","489.29","491.34","495.08","495.40","497.63","494.55","483.89","477.97","466.61","474.55","453.15","440.65","446.22","422.49","434.54","436.65","454.96","473.59","466.82","464.41","449.23","448.20","455.08","466.16","465.15","488.14","496.33","496.03","496.23","523.01","558.35","704.00","741.44","653.20","564.95","564.95","699.99","715.00","715.00","723.00","811.00","617.00","1,006.00","1,024.00","820.33","829.77","747.99","729.90","729.00","796.00","796.00","859.00","834.00","970.00","810.00","774.00","755.00","727.55","810.00","801.00","725.00","775.00","775.00","739.00","684.00","721.00","645.00","647.00","627.00","658.00","590.00","663.40","657.00","603.00","603.00","611.00","609.00","678.00","640.00","630.00","640.00","647.00","670.00","656.00","645.94","634.00","634.00","604.00","692.00","672.00"
,,"Dollars per hundredweight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cattle for slaughter 5","57.52","58.03","61.61","63.97","64.91","66.34","66.95","65.54","62.39","59.81","59.60","61.19","64.28","69.93","71.49","73.33","75.22","78.47","75.20","66.74","60.57","54.17","56.89","56.92","58.07","67.36","66.68","62.27","64.38","63.98","60.93","62.05","59.67","60.36","60.29","60.98","77.62","78.40","72.30","82.77","87.06","71.51","35.70","25.24","44.79","48.45","55.21","54.35","43.53","42.34","44.98","53.95","56.15","55.44","58.46","51.60","55.15","52.68","50.66","55.16","46.20","55.79","49.18","53.81","58.04","62.28","70.77","65.99","78.33","58.73","61.26","64.06","67.05","62.55","60.93","56.56","61.05","71.47","71.92","72.67","69.29","60.40","57.80","56.40","53.12","54.01","65.39","75.14","82.39","78.94","68.78","64.17","60.28","48.22","45.83","46.51","46.71","50.71","50.30","53.92","56.85","65.87","78.20","75.36","72.82","70.15","67.00","67.61","62.40","62.46","64.08","73.60","72.76","69.91","74.10","65.08","64.46","55.90","47.07","56.84","51.28","57.83","55.40","63.07","64.24","68.83","71.76","67.78","66.81","62.09","54.26","63.12","62.44","66.69","72.84","78.01","82.22","87.33","89.10","81.83","82.66","73.92","81.32","85.07","80.64","83.49","89.91","84.60","95.94","99.74","95.10","94.56","92.29","83.23","78.13","81.39","82.30","81.01","76.99","76.80","91.10","96.01","98.28","97.82","89.94","87.16","81.18","85.12","91.65","95.34","101.21","112.30","115.53","120.91","133.76","128.81","125.15","125.30","120.26","123.87","134.73","143.89","147.23","153.75","158.44","156.78","156.06","141.56","139.07","125.37","110.54","116.07","123.40","122.94","128.00","121.93","113.52","125.58","122.16","109.25","99.67","87.50","91.23","98.75","91.99","99.32","107.94","104.21","118.34","131.74","119.90","104.42","96.86","84.56","95.05","93.40","95.72","102.30","101.66","97.12","105.99","102.56","97.48","101.54","88.27","85.98","88.01","88.21","88.18","86.58","97.73","89.12","104.22","104.45","106.69","105.52","93.06","96.44","88.73","87.21","89.05","89.44","91.62","90.08","96.61","113.92","110.26","101.88","102.62","84.92","86.35","89.51","88.33","94.64","92.08","105.51","103.25","119.09","116.47","108.49","107.79","101.51","93.08","105.92","95.29","111.47","121.36","119.46","124.99","133.69","131.94","135.81","134.59","113.57","106.85","96.49","97.44","107.96","113.51","113.80","119.87","139.89","132.94","132.65","134.82","125.49","123.38","123.36","114.42","129.49","137.76","142.20","148.81","157.00","169.47","185.88","157.84","158.43","138.82","142.08","163.25","166.66","163.99","179.70","184.47","183.80","193.15","211.99","218.04","202.50","179.37","172.17","183.11"
,"Hogs 6","67.32","72.90","76.33","86.48","88.57","85.80","87.60","80.87","74.69","74.08","69.13","65.88","68.46","75.12","89.78","90.87","95.40","97.55","96.53","97.93","87.46","78.27","72.43","65.20","71.83","80.10","77.34","67.97","67.50","65.56","69.73","69.74","50.51","60.59","54.88","56.88","62.54","68.04","65.63","63.99","70.28","74.35","69.41","66.57","63.29","62.73","55.98","54.06","59.32","75.52","81.41","79.94","95.65","94.66","92.21","92.21","82.88","81.41","76.01","76.99","77.97","81.90","79.45","78.46","85.34","76.50","73.56","74.05","68.65","66.19","63.74","59.81","58.17","57.17","58.56","54.69","63.62","66.10","67.59","66.10","62.13","55.19","54.20","58.66","58.72","65.68","63.69","63.20","72.15","69.66","63.20","64.69","55.74","45.79","38.33","37.34","37.89","43.86","47.34","48.33","68.04","67.55","65.24","77.22","68.49","65.08","57.43","52.78","56.09","60.82","63.36","61.97","60.99","57.83","57.11","49.25","49.52","47.46","50.15","57.66","61.14","63.05","65.50","69.30","80.33","73.82","73.84","77.68","76.74","66.63","56.56","61.08","65.53","73.02","73.93","79.42","80.59","82.33","83.71","92.68","81.32","85.67","79.70","77.70","77.09","78.59","77.86","73.63","72.78","84.61","90.24","83.26","65.58","71.26","73.36","72.61","74.66","79.70","71.39","72.66","80.86","91.02","95.70","93.23","87.68","84.37","80.39","75.51","76.79","82.24","105.61","124.23","111.65","110.71","125.32","118.45","98.62","108.61","91.43","87.73","82.80","75.02","71.49","67.16","79.98","89.73","88.88","91.53","88.00","85.96","76.59","66.16","69.74","79.60","77.95","76.09","86.56","93.38","92.72","79.77","72.95","61.81","58.11","63.52","71.70","84.10","85.60","75.18","82.27","98.38","104.31","95.14","75.09","65.36","75.52","71.19","74.39","80.63","74.10","61.42","72.49","89.02","92.92","70.32","57.94","76.98","71.21","64.72","65.84","65.77","65.62","94.01","100.33","95.72","84.96","96.51","78.93","81.12","86.63","85.82","78.95","73.16","78.11","72.11","110.48","81.11","72.83","75.39","84.66","102.16","90.34","78.19","81.13","89.29","102.37","116.05","120.26","128.48","125.70","125.42","112.47","105.04","92.59","88.39","90.68","105.38","114.90","96.49","98.92","106.28","115.58","121.62","101.35","101.91","98.76","89.78","80.92","86.43","94.60","84.90","84.07","90.68","111.03","113.62","100.93","95.94","91.56","86.31","87.79","90.75","94.92","102.44","104.01","104.44","102.15","107.33","99.92","102.14","109.19","103.14","102.42","107.34","106.81","100.53","103.47","116.91","120.46","123.64","121.18","114.11","106.71","102.84","102.94"
"Ontario",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-board wheat (except durum wheat) (Terminated)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Oats","102.45","111.84","113.38","112.60","120.55","101.43","111.48","101.91","111.08","104.69","120.00","115.82","105.00","115.82","120.74","126.76","139.69","136.70","125.23","150.65","165.03","171.61","176.43","191.45","196.80","199.11","214.68","209.84","196.30","214.43","144.49","169.51","189.71","210.00","207.59","214.82","208.37","214.16","204.58","201.67","186.45","162.50","161.76","138.76","145.81","139.16","146.57","155.00","144.52","147.74","150.83","155.00","155.05","152.39","158.72","141.61","139.24","142.52","134.14","133.57","146.29","150.46","136.99","137.67","134.40","135.00","135.00","136.80","132.77","136.07","143.30","139.31","141.35","140.41","133.93","137.70","150.97","148.67","149.28","137.34","142.73","137.12","154.62","156.07","160.49","170.61","177.41","181.67","199.82","184.17","171.04","170.22","169.93","176.49","172.91","191.63","194.73","204.68","225.79","233.59","225.88","253.17","253.71","245.68","257.64","258.29","250.14","258.81","247.86","232.16","210.47","244.73","211.50","220.00","210.87","188.69","212.73","197.76","219.35","192.03","160.65","187.86","183.14","158.53","176.78","182.93","157.50","178.04","203.23","193.71","183.33","203.15","207.50","206.29","212.80","235.71","230.00","239.66","259.31","235.25","237.46","258.15","261.73","261.45","250.48","252.26","256.36","255.56","260.15","255.28","257.61","250.71","251.25","250.92","250.32","264.68","253.51","271.26","259.85","276.47","279.91","265.00","270.26","240.85","255.15","247.36","246.13","261.85","252.50","264.78","271.50","250.47","248.94","258.82","271.70","237.68","253.99","242.63","237.63","227.61","235.78","239.55","266.71","244.65","260.77","215.00","202.73","211.06","208.38","212.15","218.24","232.01","246.53","230.47","225.51","216.78","202.63","203.90","211.01","190.30","192.87","208.56","204.42","213.90","191.32","214.36","216.73","224.03","219.06","210.11","231.12","219.89","207.71","213.69","222.76","242.72","241.52","257.40","248.28","251.88","237.98","240.19","251.18","226.37","229.24","233.03","251.51","254.39","262.22","260.59","274.45","284.85","285.23","281.39","272.35","257.02","244.78","252.14","274.75","251.02","282.02","276.47","273.56","279.00","286.54","278.90","284.55","252.28","252.42","259.36","282.45","277.81","277.08","296.92","268.39","305.38","322.36","319.55","325.02","301.24","326.32","370.46","361.35","416.79","425.51","445.75","378.48","427.26","430.51","566.57","490.16","405.48","393.88","385.35","390.55","371.14","383.95","418.03","372.26","381.99","394.84","360.61","359.38","340.56","326.04","352.16","365.71","338.10","362.35","342.18","341.60","364.36","340.78","339.24","327.06","299.39","287.85","262.36","282.58","285.04","302.98","298.20","296.33","318.86","344.45","281.20","333.50","287.73","275.34","285.80","280.40","287.27","311.70"
